# timestamp_format: EPOCH_MILLIS
# Created at: Thu Aug 21 20:38:55 2025
 
received_at,protocol,msg_type,source,raw_data
1755801544495,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 6d 19 ff 7f fa 02 fd 55 
1755801544495,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 d9 4f 07 00 00 ff ff 55 
1755801544545,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801544545,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801544545,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 73 19 ff 7f fa 02 fd 55 
1755801544545,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 4d e6 07 00 00 ff ff 55 
1755801544694,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801544694,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801544694,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 74 19 ff 7f fa 02 fd 55 
1755801544694,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 c7 8b 08 00 00 ff ff 55 
1755801544744,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801544744,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801544744,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 74 19 ff 7f fa 02 fd 55 
1755801544744,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 07 a9 08 00 00 ff ff 55 
1755801544844,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801544844,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
